Drop Off Location,Stake,Route Number/Name,Donation Bags Collected,Completed More Than One Route,Ward_x,Neighbourhood,Latitude,Longitude,Point Location
Communities Outside Edmonton,Gateway Stake,15,13,Yes,Wainwright Branch,WAINWRIGHT BRANCH,53.54445,-113.49091,
Bonnie Doon Stake Centre,Bonnie Doon Stake,Strathcona 7,26,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Riverbend Stake Centre,Riverbend Stake,Ogilvie Ridge both routes,60,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,Route 4,19,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Riverbend Stake Centre,Riverbend Stake,30,24,No,Rutherford Ward,RUTHERFORD,53.42045713,-113.5399461,POINT (-113.53994611943733 53.42045712828527)
Riverbend Stake Centre,Riverbend Stake,71 Twin Brooks,19,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bearspaw Chapel,Riverbend Stake,Midbo,40,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Riverbend Stake Centre,Riverbend Stake,69 Twin Brooks,20,Yes,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bearspaw Chapel,Gateway Stake,3,21,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Bearspaw Chapel,Gateway Stake,26,8,Yes,Lee Ridge Ward,LEE RIDGE,53.47232073,-113.4502878,POINT (-113.45028784542113 53.4723207293446)
Riverbend Stake Centre,Riverbend Stake,14,10,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Riverbend Stake Centre,Riverbend Stake,Henderson states #2,62,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
Riverbend Stake Centre,Riverbend Stake,12,35,No,Woodbend Ward,WOODBEND,53.54747,-113.54367,
Riverbend Stake Centre,Riverbend Stake,Royal Gardens #4,31,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Riverbend Stake Centre,Riverbend Stake,Aspen gardens ,100,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Riverbend Stake Centre,Riverbend Stake,Greenfield 7,47,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Riverbend Stake Centre,Riverbend Stake,70,6,No,Rabbit Hill Ward,RABBIT HILL,53.41822,-113.59807,
Bonnie Doon Stake Centre,Bonnie Doon Stake,King Edward Park 4,23,No,Connors Hill Ward,CONNORS HILL,53.53722,-113.48491,
Riverbend Stake Centre,Riverbend Stake,Greenfield 3,33,No,Greenfield Ward,GREENFIELD,53.47604883,-113.5371848,POINT (-113.53718479265814 53.476048825243744)
Riverbend Stake Centre,Riverbend Stake,56,45,No,Terwillegar Park Ward,TERWILLEGAR PARK,53.50342,-113.57324,
